ID,Latitude,Longitude,Structure Number,Location,Flagged for Inundation
0,47.25279,-124.17808,00000000000P001,'3.2 KM N.E. OF MOCLIPS',1
1,47.24964,-124.17406,00000000000P002,'3 KM NE OF MOCLIPS',1
2,47.29478,-124.06622,00000000000P004,'15 KM N.E. OF MOCLIPS',1
3,47.33805,-124.03274,00000000000P005,'23 KM NE OF MOCLIPS',1
4,47.34756,-124.00773,00000000000P006,'26 KM NE OF MOCLIPS',1
5,47.25281,-124.17436,00000000000P008,'4 KM N.E. OF MOCLIPS',1
6,47.35775,-123.99073,00000000000P009,'25.7 KM NE COPALIS X-ING',1
7,47.42814,-123.91425,00000000000P012,'4 KM S OF AMANDA PARK JCT',1
8,47.35099,-124.15472,00000000000P013,'16 KM NORTH OF MOCLIPS',1
9,47.30189,-124.06139,00000000000P020,'15 KM N.E. OF MOCLIPS',1
10,46.97597,-123.81206,000000LM0000000,'0.1 E JCT US 101',1
11,46.44978,-123.87247,000000MB0000000,'1.7 N JCT SR 4',1
12,46.47519,-123.88497,000000NB0000000,'3.6 N JCT SR 4',1
13,47.28444,-124.23383,000000NC0000000,'19.1 N JCT SR 115',1
14,46.36583,-123.95117,000013552-70046,'Milepost 19.9 on US-101',1
15,46.55022,-123.41306,0000607A0000000,'21.8 E JCT US 101',0
16,46.8155,-123.1771,0000P06105T1631,'1.3KM WEST OF JCT 8049',0
17,46.8159,-123.1896,0000P06105T1632,'2.7KM W LUCKY EAGLE CASIN',0
18,46.81936,-123.19519,0000P06105T1633,'3.3KM W LUCKY EAGL CASINO',0
19,46.8194,-123.2002,0000P06105T1634,'AT FISH HATCHERY',0
20,46.82167,-123.20833,0000P06105T1635,'4KM W LUCKY EAGLE CASINO',0
21,47.348,-124.2847,0000P06117B0109,'.9 KM N  CUITAN STREET',1
22,47.32088,-124.15686,0000P06117B0206,'11KM NE OF MO CLIPS',1
23,47.43651,-123.89646,0000P06117B1804,'3 KM S OF AMANDA PK JUNCT',1
24,46.30403,-123.96701,0001074A0000000,'6.6 N JCT SR 401',1
25,46.97537,-123.87334,0001084A0000000,'3.3 N JCT US 12',1
26,46.54658,-123.38619,0001229A0000000,'23.2 E JCT US 101',0
27,46.75,-123.75039,0001331A0000000,'4.3 N JCT SR 105',0
28,46.76869,-123.7487,0001331B0000000,'5.7 N JCT SR 105',0
29,46.87975,-123.27175,0001576A0000000,'10.5 E JCT SR 8',0
30,46.84793,-123.24856,0001576B0000000,'13.0 E JCT SR 8',0
31,46.83029,-123.18614,0001576C0000000,'16.3 E JCT SR 8',0
32,46.97824,-123.79139,0001679A0000000,'1.1 E JCT US 101',1
33,46.37181,-123.95017,0001856A0000000,'7.0 N JCT SR 103',1
34,46.42819,-123.91819,0001856B0000000,'12.2 N JCT SR 103',1
35,46.97658,-123.64394,0001949A0000000,'8.3 E JCT US 101',0
36,47.3765,-123.89914,0002031C0000000,'32.9 N JCT SR 109',1
37,47.42583,-123.87644,2.03E+03,'36.5 N JCT SR 109',1
38,47.0043,-123.38715,0002236A0000000,'0.1 E JCT SR 8',0
39,46.95669,-123.32725,0002236B0000000,'4.5 E JCT SR 8',0
40,46.93778,-123.31069,0002236C0000000,'6.1 E JCT SR 8',0
41,46.9029,-123.29122,0002236D0000000,'8.6 E JCT SR 8',0
42,46.97711,-123.81289,0002311A0000000,'0.2 W JCT US 12',1
43,46.55576,-123.61139,0002340A0000000,'11.3 E JCT US 101',0
44,46.55822,-123.59692,0002340B0000000,'12.2 E JCT US 101',0
45,46.55986,-123.55086,0002340C0000000,'14.6 E JCT US 101',0
46,46.50116,-123.88645,0002539B0000000,'5.5 N JCT SR 4',1
47,46.51822,-123.88581,0002539D0000000,'6.7 N JCT SR 4',1
48,46.94,-123.87736,0002621A0000000,'13.6 N JCT SR 105 SP',1
49,46.93356,-123.90831,0002984A0000000,'12.1 N JCT SR 105 SP',1
50,46.93578,-123.8975,0002984B0000000,'12.6 N JCT SR 105 SP',1
51,46.93789,-123.88781,0002984C0000000,'13.1 N JCT SR 105 SP',1
52,47.16836,-123.88436,0003217A0000000,'15.1 N JCT SR 109',1
53,46.6631,-123.69011,0003251A0000000,'2.5 E JCT US 101',0
54,47.47381,-124.0225,0003255D0000000,'46.3 N JCT SR 109',1
55,46.96,-123.77622,0003581A0000000,'4.4 N JCT SR 107',0
56,47.09197,-123.90464,0003595A0000000,'9.2 N JCT SR 109',1
57,47.22732,-123.96475,0003765A0000000,'21.3 N JCT SR 109',1
58,47.22948,-123.96225,0003765B0000000,'21.5 N JCT SR 109',1
59,46.54803,-123.45103,0003775A0000000,'19.9 E JCT US 101',0
60,47.05655,-124.04961,0004078A0000000,'10.8 N JCT US 101',1
61,47.115,-124.16917,0004103A0000000,'5.3 N JCT SR 115',1
62,46.89914,-123.99953,0004106A0000000,'7.0 N JCT SR 105 SP',1
63,46.36667,-123.81064,0004271A0000000,'11.4 N JCT US 101',1
64,47.20617,-124.19767,0004376A0000000,'13.1 N JCT SR 115',1
65,46.97031,-123.60131,0004381A0000000,'7.6 N JCT US 101',0
66,46.97297,-123.60097,0004381B0000000,'7.8 N JCT US 101',0
67,46.97072,-123.80556,0004386A0000000,'0.2 N JCT SR 105',1
68,46.58206,-123.61869,0004552A0000000,'9.4 E JCT US 101',0
69,46.91764,-123.95831,0004564B0000000,'9.5 N JCT SR 105 SP',1
70,46.94333,-123.85333,0004564C0000000,'14.9 N JCT SR 105 SP',1
71,47.47689,-123.92947,0004740A0000000,'41.7 N JCT SR 109',1
72,46.86175,-124.07106,0004869A0000000,'1.9 N JCT SR 105 SP',1
73,47.04793,-124.04004,0004874A0000000,'10.1 N JCT US 101',1
74,47.05079,-124.0425,0004874B0000000,'10.3 N JCT US 101',1
75,47.05583,-124.16322,0005054A0000000,'0.8 N JCT SR 115',1
76,47.23754,-124.21396,0005054B0000000,'15.4 N JCT SR 115',1
77,46.79875,-123.74606,0005101A0000000,'0.6 N PACIFIC CO',0
78,46.34856,-123.95803,0005195A0000000,'5.2 N JCT SR 103',1
79,47.00378,-124.00156,0005197A0000000,'6.5 N JCT US 101',1
80,47.03111,-124.0255,0005197B0000000,'8.7 N JCT US 101',1
81,47.48025,-123.95919,0005198A0000000,'43.2 N JCT SR 109',1
82,47.10397,-123.90625,0005263B0000000,'10.0 N JCT SR 109',1
83,46.56096,-123.56058,0005493A0000000,'14.0 E JCT US 101',0
84,47.03092,-123.922,0005534A0000000,'4.4 N JCT SR 109',1
85,47.4771,-123.99714,0005777A0000000,'45.1 N JCT SR 109',1
86,47.50056,-124.13778,0005777B0000000,'52.2 N JCT SR 109',1
87,46.99398,-123.8948,0005808A0000000,'1.4 N JCT SR 109',1
88,46.95961,-123.60311,0005827A0000000,'6.8 N JCT US 101',0
89,46.30853,-123.80092,0005871A0000000,'6.9 N JCT US 101',1
90,46.34228,-123.81375,0005871B0000000,'9.6 N JCT US 101',1
91,46.72639,-123.85247,0006057A0000000,'7.6 N JCT US 101',1
92,47.05347,-123.2089,0006296A0000000,'3.8 E JCT SR 108',0
93,47.45763,-123.88899,0006421A0000000,'39.1 N JCT SR 109',1
94,47.01208,-123.36675,0006705A0000000,'1.1 E JCT US 12',0
95,47.01231,-123.36664,0006705B0000000,'1.1 E JCT US 12',0
96,47.04114,-123.32139,0006705C0000000,'4.1 E JCT US 12',0
97,47.04128,-123.3215,0006705D0000000,'4.1 E JCT US 12',0
98,46.54337,-123.51188,0007013A0000000,'16.8 E JCT US 101',0
99,47.00506,-123.38803,0007106A0000000,'JCT SR 8',0
100,47.00519,-123.38814,0007106B0000000,'JCT SR 8',0
101,47.00283,-123.39533,0007327A0000000,'10.0 E JCT SR 107',0
102,47.00303,-123.39544,0007327B0000000,'10.0 E JCT SR 107',0
103,46.36942,-123.80802,0007360A0000000,'11.6 N JCT US 101',1
104,46.37361,-123.80361,0007360B0000000,'12.0 N JCT US 101',1
105,46.66472,-123.80806,0007380A0000000,'25.4 N JCT SR 4',1
106,46.99731,-123.50261,0007612A0000000,'4.8 E JCT SR 107',0
107,46.99738,-123.50256,0007612B0000000,'4.8 E JCT SR 107',0
108,46.99859,-123.4982,0007612C0000000,'5.0 E JCT SR 107',0
109,46.99875,-123.4983,0007612D0000000,'5.0 E JCT SR 107',0
110,46.99903,-123.49638,7.61E+03,'5.1 E JCT SR 107',0
111,46.99875,-123.49828,0007612F0000000,'5.1 E JCT SR 107',0
